Sample_id,Plot_id,Site_id,Survey_Date,Treatment,Subplot,Patch,PCT_Number,PCT_Name,Esstablishment,Dbh_cm,Tree sp.,dist_Tree_m,Foliage_Cover_<0.5,Logs_<0.5,Litter_<0.5,Compost,Cryptogam,Rock,Bare soil,Shrub_>0.5,Tree>0.5,Other,
12DO,12,Mangoola Mine,7/03/2019,Rehabilitated,D,O,3431,Central Hunter Ironbark Grassy Woodland,2011,,,4,5,0,40,0,0,0,55,0,0,0,
12DT,12,Mangoola Mine,7/03/2019,Rehabilitated,D,T,3431,Central Hunter Ironbark Grassy Woodland,2011,5.5,E.crebra,,2,0,98,0,0,0,0,0,60,0,
20AO,20,Mangoola Mine,11/03/2019,Rehabilitated,A,O,3431,Central Hunter Ironbark Grassy Woodland,2013,,,2,3,0,30,0,0,1,66,0,0,0,
20AT,20,Mangoola Mine,11/03/2019,Rehabilitated,A,T,3431,Central Hunter Ironbark Grassy Woodland,2013,8.5,E.moluccana,,0,0,100,0,0,0,0,0,60,0,
20BO,20,Mangoola Mine,11/03/2019,Rehabilitated,B,O,3431,Central Hunter Ironbark Grassy Woodland,2013,,,no data,2,0,40,0,0,5,53,0,0,0,
20BT,20,Mangoola Mine,11/03/2019,Rehabilitated,B,T,3431,Central Hunter Ironbark Grassy Woodland,2013,6.5,E.moluccana,,0,0,100,0,0,0,0,0,50,0,
20CO,20,Mangoola Mine,11/03/2019,Rehabilitated,C,O,3431,Central Hunter Ironbark Grassy Woodland,2013,,,2,0,0,55,0,0,10,35,0,0,0,
20CT,20,Mangoola Mine,11/03/2019,Rehabilitated,C,T,3431,Central Hunter Ironbark Grassy Woodland,2013,6.5,E.moluccana,,0,0,98,0,0,2,0,0,50,0,
20DO,20,Mangoola Mine,11/03/2019,Rehabilitated,D,O,3431,Central Hunter Ironbark Grassy Woodland,2013,,,1,0,0,30,0,0,10,60,0,0,0,
20DT,20,Mangoola Mine,11/03/2019,Rehabilitated,D,T,3431,Central Hunter Ironbark Grassy Woodland,2013,8,E.moluccana,,0,0,95,0,0,0,5,0,40,0,
